adp,adp_formatted,bye,high,low,name,player_id,position,stdev,team,times_drafted
145.0,13.01,8,114,158,Justin Tucker,1962,PK,11.8,BAL,191
149.7,13.06,10,129,161,Stephen Gostkowski,438,PK,7.9,NE,124
155.7,13.12,9,137,176,Matt Bryant,150,PK,7.2,ATL,55
161.0,14.05,9,143,176,Wil Lutz,2522,PK,6.7,NO,42
162.6,14.07,11,150,178,Mason Crosby,251,PK,5.9,GB,44
168.2,14.12,8,151,180,Dan Bailey,1891,PK,6.5,DAL,67
168.5,15.01,6,160,178,Adam Vinatieri,1195,PK,5.4,IND,46
172.7,15.05,6,162,180,Sebastian Janikowski,593,PK,5.3,OAK,47
